key,en,pt_br,jp
MENU_CAMERA_YAXIS,Camera Y-Axis,Eixo Y da Câmera,カメラ操作：上下
MENU_CONTROLS_BUTTON,Button,Botão,ボタン
MENU_CONTROLS_CLICK,Click,Clique,クリック
MENU_CONTROLS_DEADZONE,Dead zone,Zona morta,デッドゾーン
MENU_CONTROLS_DOUBLE_CLICK,Double-click,Clique Duplo,ダブルクリック
MENU_CONTROLS_DRAG,Drag,Arrastar,ドラッグ
MENU_CONTROLS_DRAG_DROP,Drag and drop,Arrastar e soltar,ドラッグ・アンド・ドロップ
MENU_CONTROLS_FINGER,Finger,Dedo,フィンガー
MENU_CONTROLS_GAMEPAD,Gamepad,Controle,ゲームパッド
MENU_CONTROLS_GYROSCOPE,Gyroscope,Giroscópio,ジャイロ
MENU_CONTROLS_KEY,Key,Tecla,キー
MENU_CONTROLS_KEYBOARD,Keyboard,Teclado,キーボード
MENU_CONTROLS_MOUSE,Mouse,Mouse,マウス
MENU_CONTROLS_MOUSE_SENSITIVITY,Mouse sensitivity,Sensibilidade do mouse,マウス感度
MENU_CONTROLS_PINCH,Pinch,Espremer,ピンチ
MENU_CONTROLS_ROTATE,Rotate,Rotacionar,回転
MENU_CONTROLS_SCROLL,Scroll,Rolar,スクロール
MENU_CONTROLS_SHAKE,Shake,Vibrar,シェイク
MENU_CONTROLS_SPREAD,Spread,Esticar,スプレッド
MENU_CONTROLS_SWIPE,Swipe,Deslizar,スワイプ
MENU_CONTROLS_TAP,Tap,Tocar,タップ
MENU_CONTROLS_THE_BUTTON,The button,O botão,ボタン
MENU_CONTROLS_THE_KEY,The key,A tecla,キー
MENU_CONTROLS_TILT,Tilt,Balançar,ティルト
MENU_CUSTOMIZE_ARM,Arm,Braço,腕
MENU_CUSTOMIZE_ARM_PLURAL,Arms,Braços,腕
MENU_CUSTOMIZE_CHEST,Chest,Peito,胸
MENU_CUSTOMIZE_CHIN,Chin,Queixo,顎
MENU_CUSTOMIZE_COLOR,Color,Cor,色
MENU_CUSTOMIZE_EAR,Ear,Orelha,耳
MENU_CUSTOMIZE_EAR_PLURAL,Ears,Orelhas,耳
MENU_CUSTOMIZE_EYE,Eye,Olho,目
MENU_CUSTOMIZE_EYE_PLURAL,Eyes,Olhos,目
MENU_CUSTOMIZE_FEET,Feet,Pés,足
MENU_CUSTOMIZE_FOOT,Foot,Pé,足
MENU_CUSTOMIZE_HAIR,Hair,Pelo,毛
MENU_CUSTOMIZE_HAIR_BEARD,Beard,Barba,髭
MENU_CUSTOMIZE_HAIR_FUR,Fur,Pelos,毛皮
MENU_CUSTOMIZE_HAIR_HEAD,Hair,Cabelo,髪
MENU_CUSTOMIZE_HAND,Hand,Mão,手
MENU_CUSTOMIZE_HAND_PLURAL,Hands,Mãos,手
MENU_CUSTOMIZE_HEAD,Head,Cabeça,頭
MENU_CUSTOMIZE_HIPS,Hips,Cintura,腰
MENU_CUSTOMIZE_LEG,Leg,Perna,脚
MENU_CUSTOMIZE_LEG_PLURAL,Legs,Pernas,脚
MENU_CUSTOMIZE_MOUTH,Mouth,Boca,口
MENU_CUSTOMIZE_NECK,Neck,Pescoço,首
MENU_CUSTOMIZE_NOSE,Nose,Nariz,鼻
MENU_CUSTOMIZE_SKIN,Skin,Pele,肌
MENU_CUSTOMIZE_THORAX,Thorax,Tórax,胸郭
MENU_DIFFICULTY,Difficulty,Dificuldade,難易度
MENU_DIFFICULTY_EASY,Easy,Fácil,易しい
MENU_DIFFICULTY_HARD,Hard,Difícil,難しい
MENU_DIFFICULTY_IMPOSSIBLE,Impossible,Impossível,クリア不可能
MENU_DIFFICULTY_INSANE,Insane,Insano,マニアック
MENU_DIFFICULTY_MEDIUM,Medium,Médio,普通
MENU_DIFFICULTY_VERY_EASY,Very Easy,Muito Fácil,とても易しい
MENU_DIFFICULTY_VERY_HARD,Very Hard,Muito Difícil,とても難しい
MENU_DIR_DOWN,Down,Abaixo,下
MENU_DIR_LEFT,Left,Esquerda,左
MENU_DIR_RIGHT,Right,Direita,右
MENU_DIR_UP,Up,Acima,上
MENU_IO_LOAD,Load,Carregar,ロード
MENU_IO_LOAD_GAME,Load Game,Carregar Jogo,ゲームデータをロード
MENU_IO_LOADING,Loading...,Carregando…,ローディング中…
MENU_IO_PLEASE_WAIT,Please wait...,Por favor aguarde…,お待ちください…
MENU_IO_RESET_SAVE_DATA,Reset save data?,Apagar progresso?,セーブデータを消去しますか？
MENU_IO_SAVE,Save,Salvar,セーブ
MENU_IO_SAVE_DATA,Save data,Salvar progresso,セーブデータ
MENU_IO_SAVE_GAME,Save Game,Salvar Jogo,ゲームデータをセーブ
MENU_IO_SAVED,Progress Saved,Progresso Salvo,進行状況が保存されました
MENU_IO_SAVING,Saving...,Salvando…,セーブ中…
MENU_IO_WILL_SAVE,The progress will be saved.,O jogo será salvo.,進行状況が保存されます。
MENU_LABEL_AGE,Age,Idade,年齢
MENU_LABEL_ALL,All,Todos,すべて
MENU_LABEL_ARE_YOU_REALLY_SURE,Are you really sure?,Você tem certeza absoluta?,本当によろしいですか？
MENU_LABEL_ARE_YOU_SURE,Are you sure?,Você tem certeza?,よろしいですか？
MENU_LABEL_BACK,Back,Voltar,戻る
MENU_LABEL_BACKGROUND_MUSIC,Background music,Música de fundo,BGM
MENU_LABEL_CANCEL,Cancel,Cancelar,キャンセル
MENU_LABEL_CLOSE,Close,Fechar,閉じる
MENU_LABEL_CONFIRM_BUTTON,Confirm,Confirmar,決定
MENU_LABEL_CONTINUE,Continue,Continuar,続ける
MENU_LABEL_CONTINUE_EXPLORATION,Continue to explore,Continuar a explorar,探検を続ける
MENU_LABEL_CONTINUE_QUESTION,Continue?,Continuar?,続けますか？
MENU_LABEL_CREDITS,Credits,Créditos,クレジット
MENU_LABEL_CREDITS_FULL,Full Credits,Créditos Completos,エキストラクレジット
MENU_LABEL_DEBRIEF,Combat debrief,Resultado do Combate,報告会
MENU_LABEL_DESKTOP,Exit to Desktop,Sair do Jogo,終了してデスクトップへ戻る
MENU_LABEL_DESKTOP_QUESTION,Exit to Desktop?,Sair para a área de trabalho?,終了してデスクトップへ戻りますか？
MENU_LABEL_DLC,DLC,DLC,DLC
MENU_LABEL_DOWNLOAD,Download,Baixar,ダウンロード
MENU_LABEL_DOWNLOADABLE,Downloadable content,Conteúdo adicional,ダウンロードコンテンツ
MENU_LABEL_EXIT,Exit,Sair,終了する
MENU_LABEL_EXIT_QUESTION,Exit?,Sair?,終了しますか？
MENU_LABEL_EXTRAS,Extras,Extras,エキストラ
MENU_LABEL_FRAMESPERSEC,FPS,FPS,FPS
MENU_LABEL_GALLERY,Art gallery,Galeria,アートギャラリー
MENU_LABEL_GOODBYE,Goodbye!,Adeus!,さようなら！
MENU_LABEL_GRAPHICS,Graphics,Gráficos,グラフィック
MENU_LABEL_IAP,In-app purchase,Compra no aplicativo,アプリ内購入
MENU_LABEL_LANGUAGE,Language,Idioma,言語
MENU_LABEL_LEVEL,Level,Fase,ステージ
MENU_LABEL_MAIL,Mail,Correio,メール
MENU_LABEL_MAINMENU,Main Menu,Menu Principal,メインメニュー
MENU_LABEL_MORE,More,Mais,詳細
MENU_LABEL_MUSIC,Music,Música,音楽
MENU_LABEL_MUSIC_PLAYER,Music Player,Reprodutor de Música,音楽プレーヤー
MENU_LABEL_NEW_GAME,New Game,Novo Jogo,新しいゲーム
MENU_LABEL_NEW_ISLAND,Go to a new island,Ir para outra ilha,新しい島に行く
MENU_LABEL_NEXT,Next,Próxima,次
MENU_LABEL_NEXT_TRACK,Next track,Próxima música,次の曲
MENU_LABEL_NEXT_UPGRADE_PARTICLE,at,no,で
MENU_LABEL_NO,No,Não,いいえ
MENU_LABEL_NO_CAPS,NO,NÃO,いいえ
MENU_LABEL_NOPE,Nope,Nah,だめ
MENU_LABEL_OK,Okay,OK,オーケー
MENU_LABEL_OPTOUT,Privacy Options,Opções de Privacidade,プライバシーオプション
MENU_LABEL_PAUSE,Pause,Pausar,ポーズ
MENU_LABEL_PAUSED,Paused,Pausado,ポーズ中
MENU_LABEL_PLAY,Play,Jogar,プレイ
MENU_LABEL_PLAY_AGAIN,Play again,Jogar novamente,再プレイ
MENU_LABEL_PRESS_ANYKEY,Press any key,Pressione qualquer botão,いずれかのキーを押す
MENU_LABEL_PRESS_ANYKEY_CONTINUE,Press any key to continue,Pressione qualquer botão para continuar,続けるにはいずれかのキーを押す
MENU_LABEL_PRESS_START,Press Start,Pressione Start,STARTボタンを押す
MENU_LABEL_PRESS_START_CONTINUE,Press Start to continue,Pressione Start para continuar,続けるにはSTARTボタンを押す
MENU_LABEL_PREVIOUS,Previous,Anterior,前へ
MENU_LABEL_PREVIOUS_TRACK,Previous track,Música anterior,前の曲
MENU_LABEL_PRICE,Price,Preço,価格
MENU_LABEL_PRICE_FREE,Free,Grátis,無料
MENU_LABEL_PURCHASE,Purchase,Comprar,購入
MENU_LABEL_QUIT,Quit,Sair,終了する
MENU_LABEL_QUIT_CONFIRM,Are you sure you want to quit?,Você tem certeza de que quer sair?,本当に終了しますか？
MENU_LABEL_QUIT_QUESTION,Quit?,Sair?,終了しますか？
MENU_LABEL_REPLAY,Replay,Replay,リプレイ
MENU_LABEL_RETURN,Return,Retornar,戻る
MENU_LABEL_RETURN_MAIN,Return to Main Menu,Retornar ao Menu Principal,メインメニューに戻る
MENU_LABEL_RETURN_MAIN_QUESTION,Return to Main Menu?,Retornar ao Menu Principal?,メインメニューに戻りますか？
MENU_LABEL_RETURN_TOWN,Return to the village,Voltar a vila,村に帰る
MENU_LABEL_SHARE,Share,Compartilhar,共有
MENU_LABEL_SKIP,Skip,Pular,スキップ
MENU_LABEL_SOUND,Sound,Som,サウンド
MENU_LABEL_THANK_YOU,Thank you!,Obrigado!,ありがとう！
MENU_LABEL_UNLOCK,Unlock,Desbloquear,アンロック
MENU_LABEL_VIDEO,Video,Vídeo,ビデオクオリティ
MENU_LABEL_VOICES,Voices,Vozes,ボイス
MENU_LABEL_WARNING,Warning,Aviso,警告
MENU_LABEL_WELCOME,Welcome,Bem vindo,ようこそ
MENU_LABEL_WORLD,World,Mundo,ワールド
MENU_LABEL_YEAH,Yeah,Uhum,いいよ
MENU_LABEL_YES,Yes,Sim,はい
MENU_LABEL_YES_CAPS,YES,SIM,はい
MENU_LANGUAGE_DIRECTION,ltr,ltr,ltr
MENU_LANGUAGE_THIS,English,Português Brasileiro,日本語
MENU_LANGUAGE_THIS_EN,English,Portuguese (Brazil),Japanese
MENU_LOGIN,Login,Login,ログイン
MENU_LOGIN_EMAIL,E-mail,E-mail,Eメール
MENU_LOGIN_FORGOT,Forgot password,Esqueceu sua senha?,パスワードを忘れた
MENU_LOGIN_PASSWORD,Password,Senha,パスワード
MENU_LOGIN_REGISTER,Register,Registrar,登録
MENU_LOGIN_REMEMBER,Remember?,Lembrar?,保存しますか？
MENU_MODE_CHALLENGE,Challenge,Desafio,チャレンジ
MENU_MODE_CHALLENGE_MODE,Challenge mode,Modo Desafio,チャレンジモード
MENU_MODE_COOP,Co-op,Co-op,協力
MENU_MODE_COOPERATIVE,Cooperative,Cooperativo,協力モード
MENU_MODE_DEATHMATCH,Deathmatch,Mata-mata,デスマッチ
MENU_MODE_HELP,Help,Ajuda,ヘルプ
MENU_MODE_INSTRUCTIONS,Instructions,Instruções,説明
MENU_MODE_MULTIPLAYER,Multiplayer,Multijogador,マルチプレイ
MENU_MODE_MULTIPLAYER_LOCAL,Local Multiplayer,Multijogador local,ローカルマルチプレイ
MENU_MODE_MULTIPLAYER_ONLINE,Online Multiplayer,Multijogador em rede,オンラインマルチプレイ
MENU_MODE_PLAY_ONLINE,Play Online,Jogar em rede,オンラインでプレイ
MENU_MODE_SINGLEPLAYER,Singleplayer,Um jogador,シングルプレイ
MENU_MODE_TRAINING,Training,Treino,トレーニング
MENU_MODE_TUTORIAL,Tutorial,Tutorial,チュートリアル
MENU_MODE_VERSUS,Versus,Versus,対戦
MENU_NAME,Name,Nome,名前
MENU_NAME_FIRST,First Name,Nome,名前
MENU_NAME_LAST,Last Name,Sobrenome,苗字
MENU_NAME_USER,Username,Usuário,ユーザーネーム
MENU_OPTIONS,Options,Opções,設定
MENU_OPTIONS_ADVANCEDGRAPHICS,Advanced Graphics,Gráficos Avançados,グラフィック詳細設定
MENU_OPTIONS_ANTIALIASING,Anti-aliasing,Antisserrilhamento,アンチエイリアス
MENU_OPTIONS_BLOOM,Bloom,Bloom,ブルーム効果
MENU_OPTIONS_CONTROLS,Controls,Controles,操作方法
MENU_OPTIONS_DIFFICULTY,Difficulty Options,Opções de Dificuldade,難易度設定
MENU_OPTIONS_DISPLAY,Display,Tela,ディスプレイ
MENU_OPTIONS_EFFECT_DETAIL,Effect detail,Detalhe dos efeitos,エフェクト詳細設定
MENU_OPTIONS_FILTERING_ANISOTROPIC,Anisotropic,Anisotrópico,異方性
MENU_OPTIONS_FILTERING_BILINEAR,Bilinear,Bilinear,バイリニア
MENU_OPTIONS_FILTERING_MODE,Filtering mode,Modo de filtragem,フィルタリング モード
MENU_OPTIONS_FILTERING_TRILINEAR,Trilinear,Trilinear,トライリニア
MENU_OPTIONS_FIRST_PERSON_VIEW,First Person View,Visão em primeira pessoa,一人称視点
MENU_OPTIONS_FOV,FOV,Campo de visão (FOV),視野角
MENU_OPTIONS_FULLSCREEN,Fullscreen,Tela cheia,フルスクリーン
MENU_OPTIONS_GAMEPLAY,Gameplay Options,Jogo,ゲームプレイ設定
MENU_OPTIONS_GRAPHICS,Graphics Options,Opções Gráficas,グラフィック設定
MENU_OPTIONS_HUD,HUD,HUD,HUD
MENU_OPTIONS_MODEL_DETAIL,Model detail,Detalhe dos modelos,モデルの詳細
MENU_OPTIONS_MULTICORE_RENDERING,Multicore rendering,Renderização multinuclear,マルチコアレンダリング
MENU_OPTIONS_MUSIC_VOLUME,Music,Música,BGM音量 
MENU_OPTIONS_NETWORK,Network Options,Opções de Rede,ネットワーク設定
MENU_OPTIONS_QUALITY,Quality,Qualidade,クオリティ
MENU_OPTIONS_RESOLUTION,Resolution,Resolução,解像度
MENU_OPTIONS_SFX_VOLUME,SFX,Efeitos,SE音量 
MENU_OPTIONS_SHADER_DETAIL,Shader detail,Detalhe do shader,シェーダーの詳細
MENU_OPTIONS_SHADOW,Shadow,Sombra,シャドウ
MENU_OPTIONS_SHADOW_PLURAL,Shadows,Sombras,シャドウ
MENU_OPTIONS_SIZE,Size,Tamanho,サイズ
MENU_OPTIONS_SOUND,Sound Options,Audio,サウンド設定
MENU_OPTIONS_SOUND_VOLUME,Volume,Volume,ボリューム
MENU_OPTIONS_SPLITSCREEN,Splitscreen,Tela dividida,画面分割
MENU_OPTIONS_TEXTURE_DETAIL,Texture detail,Detalhe das texturas,テクスチャの詳細
MENU_OPTIONS_THIRD_PERSON_VIEW,Third Person View,Visão em terceira pessoa,三人称視点
MENU_OPTIONS_VIDEO,Video Options,Opções de Vídeo,ビデオ設定
MENU_OPTIONS_VIDEO_QUALITY,Video Quality,Qualidade de Video,ビデオクオリティ
MENU_OPTIONS_VOICE_VOLUME,Voice volume,Volume das vozes,ボイス音量 
MENU_OPTIONS_VSYNC,V-sync,Vsync,垂直同期
MENU_OPTIONS_WIDESCREEN,Widescreen,Widescreen,ワイドスクリーン
MENU_OPTIONS_WINDOWED,Windowed,Janela,ウィンドウモード
MENU_POPUP_BUTTON_LARGE_ISLAND,Large Island,Ilha Grande,大の島
MENU_POPUP_BUTTON_MEDIUM_ISLAND,Medium Island,Ilha Mediana,中型の島
MENU_POPUP_BUTTON_SMALL_ISLAND,Small Island,Ilha Pequena,小の島
MENU_POPUP_MESSAGE_BUY_ITEMS,Are you sure you want to buy this?,Tem certeza que quer comprar isso?,これを購入してもよろしいですか？
MENU_POPUP_MESSAGE_CHANGE_FLOORS,Go to the second floor,Ir para o segundo andar,2階に行きます。
MENU_POPUP_MESSAGE_CLOSE_STORE,This will close the store.,Isso vai fechar a loja.,これで店が閉まります。
MENU_POPUP_MESSAGE_NIGHT,"You can't do this at night, go to sleep.","Você não pode fazer isso noite, vá dormir.",夜にこれをすることはできません、眠りにつください。
MENU_POPUP_MESSAGE_NO_COINS,You need more coins to buy this.,Você precisa de mais moedas para comprar isto.,これを買うにはもっと硬貨が必要です。
MENU_POPUP_MESSAGE_NO_ITEMS,You need to choose some items first.,Você precisa escolher alguns items primeiro..,最初にいくつかのアイテムを選択する必要があります。
MENU_POPUP_MESSAGE_OPEN_STORE,This will open the store.,Isso vai abrir a loja.,これで店が開きます。
MENU_POPUP_MESSAGE_SLEEP,This will pass the day.,Isso irá passar o dia.,これは一日を過ぎます。
MENU_POPUP_MESSAGE_TIME,This action will take one time period.,A ação vai custar um período de tempo.,このアクションは時間が前進ります
MENU_POPUP_MESSAGE_TRAVEL_ISLAND,This will take you to a new island.,Isso vai levar você até uma nova ilha.,これは新しい島に連れて行きます
MENU_POPUP_MESSAGE_TRAVEL_TIME,This action will take one time period.,A viajem vai custar um período de tempo.,この旅行は時間が前進ります
MENU_POPUP_MESSAGE_TRAVEL_TOWN,This will take you back to the village.,Isso vai levar você devolta a vila.,これは村に連れて行きます
MENU_POPUP_TITLE_CHANGE_FLOORS,Second Floor,Segundo Andar,2階
MENU_POPUP_TITLE_NO_COINS,Not Enough Coins,Faltou Moedas,硬貨が足りない
MENU_POPUP_TITLE_SLEEP,Sleep,Dormir.,寝る
MENU_POPUP_TITLE_TRAVEL,Travel,Viajar,旅行
MENU_SETTING_HIGH,High,Alto,高
MENU_SETTING_LOW,Low,Baixo,低
MENU_SETTING_MEDIUM,Medium,Médio,中
MENU_SETTING_ULTRA,Ultra,Ultra,ウルトラ
MENU_SETTING_VERY_HIGH,Very High,Muito alto,最高
MENU_TITLE_GAME_NAME,Dis Game Has No Name!,Este Jogo Num Tem Nome!,このゲームは名前ありません!
MENU_TITLE_MERCHANT,Merchant,Mercador,商人
MENU_TITLE_PROFIT,Profit,Lucro,利益
MENU_TITLE_SOLD_ITEMS,Sold Items,Items Vendidos,販売アイテム
MENU_TITLE_STORE,Open the Store,Abrir a Loja,店開きます
MENU_TITLE_STORE_DEBRIEF,Store Results,Resultado das Vendas,販売実績
MENU_VERSION,Version,Versão,バージョン
MENU_VERSION_DEMO,Demo,Demo,デモ
MENU_VERSION_FREE,Free,Grátis,無料版
MENU_VERSION_FULL,Full,Completo,完全版
MENU_VERSION_LITE,Lite,Lite,Lite版
MENU_VERSION_PREMIUM,Premium,Premium,プレミアム
MENU_VERSION_SHAREWARE,Shareware,Shareware,シェアウェア
MENU_VERSION_TRIAL,Trial,Teste,体験版
MENU_VR_COMFORT_MODE,VR comfort mode,Zona de Conforto RV,VR向けモード
MENU_VR_HMD_ORIENT_RESET,HMD orientation reset,Reiniciar orientação HMD,HMDの画面位置設定をリセット
MENU_VR_VIRTUAL_REALITY,Virtual Reality,Realidade Virtual,バーチャルリアリティ
